run_id,method,dimension,dataset_id,heldout_batch,seed,metric,population,value,status,reason,implementation,comparison_eligible,n_labels_tested
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,within_label_silhouette__donor,reference,,not_applicable,Historical donor panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,within_label_silhouette__patientGroup,reference,,not_applicable,Historical patientGroup panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,within_label_silhouette__study,query,,not_applicable,No cell type has at least 10 cells and a mathematically valid multi-group silhouette,scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,0.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,within_label_silhouette__sample_ID,query,,not_applicable,No cell type has at least 10 cells and a mathematically valid multi-group silhouette,scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,0.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,within_label_silhouette__donor,query,,not_applicable,Historical donor panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,within_label_silhouette__patientGroup,query,,not_applicable,Historical patientGroup panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,within_label_silhouette__study,joint,0.0299946647605151,computed,"Original within_label_silhouette helper; cell-count weighting; labels_tested=12; shared original seed0 per-label cap8000; raw covariate association, not uniformly higher-is-better",scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,12.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,within_label_silhouette__sample_ID,joint,0.0299946647605151,computed,"Original within_label_silhouette helper; cell-count weighting; labels_tested=12; shared original seed0 per-label cap8000; raw covariate association, not uniformly higher-is-better",scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,12.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,within_label_silhouette__donor,joint,,not_applicable,Historical donor panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,within_label_silhouette__patientGroup,joint,,not_applicable,Historical patientGroup panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,PCR_batch,joint,0.6910746815385692,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 pcr_comparison with source-invariant pcr_before cache,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,ASW_label/batch,joint,0.8513971039219459,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 silhouette_batch then mean over labels,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,batchASW,joint,0.8513971039219459,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 silhouette_batch then mean over labels,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,iLISI,joint,1.2312382409109937,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 graph LISI,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,graph_conn,joint,0.9903362684422996,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 graph_connectivity,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,kBET,joint,0.0256068479930954,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 kBET: 1 - mean(per-label R average.pval),True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,NMI_cluster/label,joint,0.7267878307983098,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 opt_louvain + nmi(arithmetic),True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,ARI_cluster/label,joint,0.326560681447012,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 opt_louvain + ari,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,ASW_label,joint,0.824574887752533,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 silhouette,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,labelASW,joint,0.824574887752533,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 silhouette,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,isolated_label_F1,joint,0.9119704618510248,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 isolated_labels(cluster=True),True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,isolated_label_silhouette,joint,0.4930989351123571,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 isolated_labels(cluster=False; binary label-vs-rest ASW),True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,cLISI,joint,0.9999999999999996,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 graph LISI,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,hvg_overlap,joint,,not_applicable,The official scIB pipeline disables HVG overlap for embedding outputs.,official scIB applicability rules,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,cell_cycle_conservation,joint,0.5815341161134512,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 cell_cycle with source-invariant score cache,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,trajectory,joint,0.8510922853200804,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 trajectory_conservation,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,macro_f1,query,0.9107928310473016,computed,"Full-reference distance-weighted 15NN, Minkowski p=2; labels=unique(query truth); zero_division=0",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,balanced_accuracy,query,0.8941091769190767,computed,"Mean recall over query true classes, including classes absent from reference",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,trustworthiness,reference,0.9154665960255052,computed,"Cached full-source PCA50; Euclidean k15; frozen shared IDs, seed40, maximum6000",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,pseudotime_smoothness,reference,0.8835888939230442,computed,Original NaN-excluded annotated-cell population (2629/22779 cells); biovalid_ref_query_joint.pseudotime_smoothness k15; original first-neighbor removal,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,trustworthiness,query,0.9522503448404068,computed,"Cached full-source PCA50; Euclidean k15; frozen shared IDs, seed40, maximum6000",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,pseudotime_smoothness,query,,not_applicable,Original annotated-cell subset has fewer than 16 cells for fixed pseudotime k15,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,trustworthiness,joint,0.9364456509211236,computed,"Cached full-source PCA50; Euclidean k15; frozen shared IDs, seed40, maximum6000",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,pseudotime_smoothness,joint,0.8835888939230442,computed,Original NaN-excluded annotated-cell population (2629/33506 cells); biovalid_ref_query_joint.pseudotime_smoothness k15; original first-neighbor removal,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,within_label_silhouette__study,reference,0.0196858688183172,computed,"Original within_label_silhouette helper; cell-count weighting; labels_tested=10; shared original seed0 per-label cap8000; raw covariate association, not uniformly higher-is-better",scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,10.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,within_label_silhouette__sample_ID,reference,0.0196858688183172,computed,"Original within_label_silhouette helper; cell-count weighting; labels_tested=10; shared original seed0 per-label cap8000; raw covariate association, not uniformly higher-is-better",scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,10.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,within_label_silhouette__donor,reference,,not_applicable,Historical donor panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,within_label_silhouette__patientGroup,reference,,not_applicable,Historical patientGroup panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,within_label_silhouette__study,query,,not_applicable,No cell type has at least 10 cells and a mathematically valid multi-group silhouette,scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,0.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,within_label_silhouette__sample_ID,query,,not_applicable,No cell type has at least 10 cells and a mathematically valid multi-group silhouette,scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,0.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,within_label_silhouette__donor,query,,not_applicable,Historical donor panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,within_label_silhouette__patientGroup,query,,not_applicable,Historical patientGroup panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,within_label_silhouette__study,joint,0.033032731580087,computed,"Original within_label_silhouette helper; cell-count weighting; labels_tested=12; shared original seed0 per-label cap8000; raw covariate association, not uniformly higher-is-better",scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,12.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,within_label_silhouette__sample_ID,joint,0.033032731580087,computed,"Original within_label_silhouette helper; cell-count weighting; labels_tested=12; shared original seed0 per-label cap8000; raw covariate association, not uniformly higher-is-better",scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,12.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,within_label_silhouette__donor,joint,,not_applicable,Historical donor panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,within_label_silhouette__patientGroup,joint,,not_applicable,Historical patientGroup panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,PCR_batch,joint,0.7118846348703189,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 pcr_comparison with source-invariant pcr_before cache,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,ASW_label/batch,joint,0.846565443105013,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 silhouette_batch then mean over labels,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,batchASW,joint,0.846565443105013,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 silhouette_batch then mean over labels,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,iLISI,joint,1.2195767031730589,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 graph LISI,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,graph_conn,joint,0.9913738299998388,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 graph_connectivity,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,kBET,joint,0.0279554265694024,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 kBET: 1 - mean(per-label R average.pval),True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,NMI_cluster/label,joint,0.7278829072412871,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 opt_louvain + nmi(arithmetic),True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,ARI_cluster/label,joint,0.3354661783954166,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 opt_louvain + ari,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,ASW_label,joint,0.823917031288147,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 silhouette,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,labelASW,joint,0.823917031288147,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 silhouette,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,isolated_label_F1,joint,0.912496388054554,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 isolated_labels(cluster=True),True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,isolated_label_silhouette,joint,0.4930989351123571,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 isolated_labels(cluster=False; binary label-vs-rest ASW),True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,cLISI,joint,0.9999999999999998,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 graph LISI,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,hvg_overlap,joint,,not_applicable,The official scIB pipeline disables HVG overlap for embedding outputs.,official scIB applicability rules,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,cell_cycle_conservation,joint,0.5685475916771263,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 cell_cycle with source-invariant score cache,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,trajectory,joint,0.5461772846689994,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 trajectory_conservation,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,macro_f1,query,0.9003802347254863,computed,"Full-reference distance-weighted 15NN, Minkowski p=2; labels=unique(query truth); zero_division=0",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,balanced_accuracy,query,0.8955431760693561,computed,"Mean recall over query true classes, including classes absent from reference",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,trustworthiness,reference,0.9120416801442568,computed,"Cached full-source PCA50; Euclidean k15; frozen shared IDs, seed40, maximum6000",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,pseudotime_smoothness,reference,0.8779648246598112,computed,Original NaN-excluded annotated-cell population (2629/22779 cells); biovalid_ref_query_joint.pseudotime_smoothness k15; original first-neighbor removal,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,trustworthiness,query,0.951888234528656,computed,"Cached full-source PCA50; Euclidean k15; frozen shared IDs, seed40, maximum6000",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,pseudotime_smoothness,query,,not_applicable,Original annotated-cell subset has fewer than 16 cells for fixed pseudotime k15,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,trustworthiness,joint,0.9326235569683788,computed,"Cached full-source PCA50; Euclidean k15; frozen shared IDs, seed40, maximum6000",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,pseudotime_smoothness,joint,0.8779648246598112,computed,Original NaN-excluded annotated-cell population (2629/33506 cells); biovalid_ref_query_joint.pseudotime_smoothness k15; original first-neighbor removal,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,within_label_silhouette__study,reference,0.0183617460948967,computed,"Original within_label_silhouette helper; cell-count weighting; labels_tested=10; shared original seed0 per-label cap8000; raw covariate association, not uniformly higher-is-better",scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,10.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,within_label_silhouette__sample_ID,reference,0.0183617460948967,computed,"Original within_label_silhouette helper; cell-count weighting; labels_tested=10; shared original seed0 per-label cap8000; raw covariate association, not uniformly higher-is-better",scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,10.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,within_label_silhouette__donor,reference,,not_applicable,Historical donor panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,within_label_silhouette__patientGroup,reference,,not_applicable,Historical patientGroup panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,within_label_silhouette__study,query,,not_applicable,No cell type has at least 10 cells and a mathematically valid multi-group silhouette,scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,0.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,within_label_silhouette__sample_ID,query,,not_applicable,No cell type has at least 10 cells and a mathematically valid multi-group silhouette,scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,0.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,within_label_silhouette__donor,query,,not_applicable,Historical donor panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,within_label_silhouette__patientGroup,query,,not_applicable,Historical patientGroup panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,within_label_silhouette__study,joint,0.027165606052707,computed,"Original within_label_silhouette helper; cell-count weighting; labels_tested=12; shared original seed0 per-label cap8000; raw covariate association, not uniformly higher-is-better",scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,12.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,within_label_silhouette__sample_ID,joint,0.027165606052707,computed,"Original within_label_silhouette helper; cell-count weighting; labels_tested=12; shared original seed0 per-label cap8000; raw covariate association, not uniformly higher-is-better",scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,12.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,within_label_silhouette__donor,joint,,not_applicable,Historical donor panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,within_label_silhouette__patientGroup,joint,,not_applicable,Historical patientGroup panel is defined only for lung_atlas,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,PCR_batch,joint,0.6946902362764433,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 pcr_comparison with source-invariant pcr_before cache,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,ASW_label/batch,joint,0.8485786915546443,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 silhouette_batch then mean over labels,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,batchASW,joint,0.8485786915546443,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 silhouette_batch then mean over labels,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,iLISI,joint,1.2434636188581307,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 graph LISI,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,graph_conn,joint,0.9907464225392392,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 graph_connectivity,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,kBET,joint,0.019287240833557,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 kBET: 1 - mean(per-label R average.pval),True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,NMI_cluster/label,joint,0.7321867580969287,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 opt_louvain + nmi(arithmetic),True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,ARI_cluster/label,joint,0.3408930512151127,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 opt_louvain + ari,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,ASW_label,joint,0.8246099352836609,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 silhouette,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,labelASW,joint,0.8246099352836609,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 silhouette,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,isolated_label_F1,joint,0.907417775505595,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 isolated_labels(cluster=True),True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,isolated_label_silhouette,joint,0.4930989351123571,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 isolated_labels(cluster=False; binary label-vs-rest ASW),True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,cLISI,joint,0.9999999999999996,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 graph LISI,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,hvg_overlap,joint,,not_applicable,The official scIB pipeline disables HVG overlap for embedding outputs.,official scIB applicability rules,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,cell_cycle_conservation,joint,0.5718948006023541,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 cell_cycle with source-invariant score cache,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,trajectory,joint,0.5501713142723268,computed,Computed by the locked scIB paper backend.,scIB 0.2.0 trajectory_conservation,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s43,solar_orthogonal,128,immune_cell_human,10X,43,macro_f1,query,0.9042600383356058,computed,"Full-reference distance-weighted 15NN, Minkowski p=2; labels=unique(query truth); zero_division=0",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s43,solar_orthogonal,128,immune_cell_human,10X,43,balanced_accuracy,query,0.8928339107447854,computed,"Mean recall over query true classes, including classes absent from reference",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s43,solar_orthogonal,128,immune_cell_human,10X,43,trustworthiness,reference,0.9124387448180992,computed,"Cached full-source PCA50; Euclidean k15; frozen shared IDs, seed40, maximum6000",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s43,solar_orthogonal,128,immune_cell_human,10X,43,pseudotime_smoothness,reference,0.8778627632178615,computed,Original NaN-excluded annotated-cell population (2629/22779 cells); biovalid_ref_query_joint.pseudotime_smoothness k15; original first-neighbor removal,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s43,solar_orthogonal,128,immune_cell_human,10X,43,trustworthiness,query,0.9496183890097224,computed,"Cached full-source PCA50; Euclidean k15; frozen shared IDs, seed40, maximum6000",,True,
