run_id,method,dimension,dataset_id,heldout_batch,seed,stochastic
historical__solar_orthogonal__d128__immune_cell_human__Oetjen_A__s42,solar_orthogonal,128,immune_cell_human,Oetjen_A,42,True
historical__solar_orthogonal__d128__immune_cell_human__Oetjen_A__s43,solar_orthogonal,128,immune_cell_human,Oetjen_A,43,True
historical__solar_orthogonal__d128__immune_cell_human__Oetjen_A__s44,solar_orthogonal,128,immune_cell_human,Oetjen_A,44,True
historical__solar_orthogonal_uniq__d128__immune_cell_human__Oetjen_A__s40,solar_orthogonal_uniq,128,immune_cell_human,Oetjen_A,40,True
historical__solar_orthogonal_uniq__d128__immune_cell_human__Oetjen_A__s41,solar_orthogonal_uniq,128,immune_cell_human,Oetjen_A,41,True
historical__solar_orthogonal_uniq__d128__immune_cell_human__Oetjen_A__s42,solar_orthogonal_uniq,128,immune_cell_human,Oetjen_A,42,True
historical__solar_orthogonal_uniq__d128__immune_cell_human__Oetjen_A__s43,solar_orthogonal_uniq,128,immune_cell_human,Oetjen_A,43,True
historical__solar_orthogonal_uniq__d128__immune_cell_human__Oetjen_A__s44,solar_orthogonal_uniq,128,immune_cell_human,Oetjen_A,44,True
historical__solar_none__d128__immune_cell_human__Oetjen_A__s40,solar_none,128,immune_cell_human,Oetjen_A,40,True
historical__solar_none__d128__immune_cell_human__Oetjen_A__s41,solar_none,128,immune_cell_human,Oetjen_A,41,True
historical__solar_none__d128__immune_cell_human__Oetjen_A__s42,solar_none,128,immune_cell_human,Oetjen_A,42,True
historical__solar_none__d128__immune_cell_human__Oetjen_A__s43,solar_none,128,immune_cell_human,Oetjen_A,43,True
historical__solar_none__d128__immune_cell_human__Oetjen_A__s44,solar_none,128,immune_cell_human,Oetjen_A,44,True
historical__frozen_reference_scvi__d30__immune_cell_human__Oetjen_A__s40,frozen_reference_scvi,30,immune_cell_human,Oetjen_A,40,True
historical__frozen_reference_scvi__d30__immune_cell_human__Oetjen_A__s41,frozen_reference_scvi,30,immune_cell_human,Oetjen_A,41,True
historical__frozen_reference_scvi__d30__immune_cell_human__Oetjen_A__s42,frozen_reference_scvi,30,immune_cell_human,Oetjen_A,42,True
historical__frozen_reference_scvi__d30__immune_cell_human__Oetjen_A__s43,frozen_reference_scvi,30,immune_cell_human,Oetjen_A,43,True
historical__frozen_reference_scvi__d30__immune_cell_human__Oetjen_A__s44,frozen_reference_scvi,30,immune_cell_human,Oetjen_A,44,True
historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s40,frozen_reference_scanvi,30,immune_cell_human,Oetjen_A,40,True
historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s41,frozen_reference_scanvi,30,immune_cell_human,Oetjen_A,41,True
historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s42,frozen_reference_scanvi,30,immune_cell_human,Oetjen_A,42,True
historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s43,frozen_reference_scanvi,30,immune_cell_human,Oetjen_A,43,True
historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s44,frozen_reference_scanvi,30,immune_cell_human,Oetjen_A,44,True
historical__unintegrated_pca_matched__d40__immune_cell_human__Oetjen_A__s0,unintegrated_pca_matched,40,immune_cell_human,Oetjen_A,0,False
historical__sclsc_refonly__d16__immune_cell_human__Oetjen_A__s40,sclsc_refonly,16,immune_cell_human,Oetjen_A,40,True
historical__sclsc_refonly__d16__immune_cell_human__Oetjen_A__s41,sclsc_refonly,16,immune_cell_human,Oetjen_A,41,True
historical__sclsc_refonly__d16__immune_cell_human__Oetjen_A__s42,sclsc_refonly,16,immune_cell_human,Oetjen_A,42,True
historical__sclsc_refonly__d16__immune_cell_human__Oetjen_A__s43,sclsc_refonly,16,immune_cell_human,Oetjen_A,43,True
historical__sclsc_refonly__d16__immune_cell_human__Oetjen_A__s44,sclsc_refonly,16,immune_cell_human,Oetjen_A,44,True
historical__solar_orthogonal__d128__immune_cell_human__Villani__s40,solar_orthogonal,128,immune_cell_human,Villani,40,True
historical__solar_orthogonal__d128__immune_cell_human__Villani__s41,solar_orthogonal,128,immune_cell_human,Villani,41,True
historical__solar_orthogonal__d128__immune_cell_human__Villani__s42,solar_orthogonal,128,immune_cell_human,Villani,42,True
historical__solar_orthogonal__d128__immune_cell_human__Villani__s43,solar_orthogonal,128,immune_cell_human,Villani,43,True
historical__solar_orthogonal__d128__immune_cell_human__Villani__s44,solar_orthogonal,128,immune_cell_human,Villani,44,True
historical__solar_orthogonal_uniq__d128__immune_cell_human__Villani__s40,solar_orthogonal_uniq,128,immune_cell_human,Villani,40,True
historical__solar_orthogonal_uniq__d128__immune_cell_human__Villani__s41,solar_orthogonal_uniq,128,immune_cell_human,Villani,41,True
historical__solar_orthogonal_uniq__d128__immune_cell_human__Villani__s42,solar_orthogonal_uniq,128,immune_cell_human,Villani,42,True
historical__solar_orthogonal_uniq__d128__immune_cell_human__Villani__s43,solar_orthogonal_uniq,128,immune_cell_human,Villani,43,True
historical__solar_orthogonal_uniq__d128__immune_cell_human__Villani__s44,solar_orthogonal_uniq,128,immune_cell_human,Villani,44,True
historical__solar_none__d128__immune_cell_human__Villani__s40,solar_none,128,immune_cell_human,Villani,40,True
historical__solar_none__d128__immune_cell_human__Villani__s41,solar_none,128,immune_cell_human,Villani,41,True
historical__solar_none__d128__immune_cell_human__Villani__s42,solar_none,128,immune_cell_human,Villani,42,True
historical__solar_none__d128__immune_cell_human__Villani__s43,solar_none,128,immune_cell_human,Villani,43,True
historical__solar_none__d128__immune_cell_human__Villani__s44,solar_none,128,immune_cell_human,Villani,44,True
historical__frozen_reference_scvi__d30__immune_cell_human__Villani__s40,frozen_reference_scvi,30,immune_cell_human,Villani,40,True
historical__frozen_reference_scvi__d30__immune_cell_human__Villani__s41,frozen_reference_scvi,30,immune_cell_human,Villani,41,True
historical__frozen_reference_scvi__d30__immune_cell_human__Villani__s42,frozen_reference_scvi,30,immune_cell_human,Villani,42,True
historical__frozen_reference_scvi__d30__immune_cell_human__Villani__s43,frozen_reference_scvi,30,immune_cell_human,Villani,43,True
historical__frozen_reference_scvi__d30__immune_cell_human__Villani__s44,frozen_reference_scvi,30,immune_cell_human,Villani,44,True
historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s40,frozen_reference_scanvi,30,immune_cell_human,Villani,40,True
historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s41,frozen_reference_scanvi,30,immune_cell_human,Villani,41,True
historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s42,frozen_reference_scanvi,30,immune_cell_human,Villani,42,True
historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s43,frozen_reference_scanvi,30,immune_cell_human,Villani,43,True
historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s44,frozen_reference_scanvi,30,immune_cell_human,Villani,44,True
historical__unintegrated_pca_matched__d40__immune_cell_human__Villani__s0,unintegrated_pca_matched,40,immune_cell_human,Villani,0,False
historical__sclsc_refonly__d16__immune_cell_human__Villani__s40,sclsc_refonly,16,immune_cell_human,Villani,40,True
historical__sclsc_refonly__d16__immune_cell_human__Villani__s41,sclsc_refonly,16,immune_cell_human,Villani,41,True
historical__sclsc_refonly__d16__immune_cell_human__Villani__s42,sclsc_refonly,16,immune_cell_human,Villani,42,True
historical__sclsc_refonly__d16__immune_cell_human__Villani__s43,sclsc_refonly,16,immune_cell_human,Villani,43,True
historical__sclsc_refonly__d16__immune_cell_human__Villani__s44,sclsc_refonly,16,immune_cell_human,Villani,44,True
historical__solar_orthogonal__d128__lung_atlas__3__s40,solar_orthogonal,128,lung_atlas,3,40,True
historical__solar_orthogonal__d128__lung_atlas__3__s41,solar_orthogonal,128,lung_atlas,3,41,True
historical__solar_orthogonal__d128__lung_atlas__3__s42,solar_orthogonal,128,lung_atlas,3,42,True
historical__solar_orthogonal__d128__lung_atlas__3__s43,solar_orthogonal,128,lung_atlas,3,43,True
historical__solar_orthogonal__d128__lung_atlas__3__s44,solar_orthogonal,128,lung_atlas,3,44,True
historical__solar_orthogonal_uniq__d128__lung_atlas__3__s40,solar_orthogonal_uniq,128,lung_atlas,3,40,True
historical__solar_orthogonal_uniq__d128__lung_atlas__3__s41,solar_orthogonal_uniq,128,lung_atlas,3,41,True
historical__solar_orthogonal_uniq__d128__lung_atlas__3__s42,solar_orthogonal_uniq,128,lung_atlas,3,42,True
historical__solar_orthogonal_uniq__d128__lung_atlas__3__s43,solar_orthogonal_uniq,128,lung_atlas,3,43,True
historical__solar_orthogonal_uniq__d128__lung_atlas__3__s44,solar_orthogonal_uniq,128,lung_atlas,3,44,True
historical__solar_none__d128__lung_atlas__3__s40,solar_none,128,lung_atlas,3,40,True
historical__solar_none__d128__lung_atlas__3__s41,solar_none,128,lung_atlas,3,41,True
historical__solar_none__d128__lung_atlas__3__s42,solar_none,128,lung_atlas,3,42,True
historical__solar_none__d128__lung_atlas__3__s43,solar_none,128,lung_atlas,3,43,True
historical__solar_none__d128__lung_atlas__3__s44,solar_none,128,lung_atlas,3,44,True
historical__frozen_reference_scvi__d30__lung_atlas__3__s40,frozen_reference_scvi,30,lung_atlas,3,40,True
historical__frozen_reference_scvi__d30__lung_atlas__3__s41,frozen_reference_scvi,30,lung_atlas,3,41,True
historical__frozen_reference_scvi__d30__lung_atlas__3__s42,frozen_reference_scvi,30,lung_atlas,3,42,True
historical__frozen_reference_scvi__d30__lung_atlas__3__s43,frozen_reference_scvi,30,lung_atlas,3,43,True
historical__frozen_reference_scvi__d30__lung_atlas__3__s44,frozen_reference_scvi,30,lung_atlas,3,44,True
historical__frozen_reference_scanvi__d30__lung_atlas__3__s40,frozen_reference_scanvi,30,lung_atlas,3,40,True
historical__frozen_reference_scanvi__d30__lung_atlas__3__s41,frozen_reference_scanvi,30,lung_atlas,3,41,True
historical__frozen_reference_scanvi__d30__lung_atlas__3__s42,frozen_reference_scanvi,30,lung_atlas,3,42,True
historical__frozen_reference_scanvi__d30__lung_atlas__3__s43,frozen_reference_scanvi,30,lung_atlas,3,43,True
historical__frozen_reference_scanvi__d30__lung_atlas__3__s44,frozen_reference_scanvi,30,lung_atlas,3,44,True
historical__unintegrated_pca_matched__d40__lung_atlas__3__s0,unintegrated_pca_matched,40,lung_atlas,3,0,False
historical__sclsc_refonly__d16__lung_atlas__3__s40,sclsc_refonly,16,lung_atlas,3,40,True
historical__sclsc_refonly__d16__lung_atlas__3__s41,sclsc_refonly,16,lung_atlas,3,41,True
historical__sclsc_refonly__d16__lung_atlas__3__s42,sclsc_refonly,16,lung_atlas,3,42,True
historical__sclsc_refonly__d16__lung_atlas__3__s43,sclsc_refonly,16,lung_atlas,3,43,True
historical__sclsc_refonly__d16__lung_atlas__3__s44,sclsc_refonly,16,lung_atlas,3,44,True
historical__solar_orthogonal__d128__lung_atlas__4__s40,solar_orthogonal,128,lung_atlas,4,40,True
historical__solar_orthogonal__d128__lung_atlas__4__s41,solar_orthogonal,128,lung_atlas,4,41,True
historical__solar_orthogonal__d128__lung_atlas__4__s42,solar_orthogonal,128,lung_atlas,4,42,True
historical__solar_orthogonal__d128__lung_atlas__4__s43,solar_orthogonal,128,lung_atlas,4,43,True
historical__solar_orthogonal__d128__lung_atlas__4__s44,solar_orthogonal,128,lung_atlas,4,44,True
historical__solar_orthogonal_uniq__d128__lung_atlas__4__s40,solar_orthogonal_uniq,128,lung_atlas,4,40,True
historical__solar_orthogonal_uniq__d128__lung_atlas__4__s41,solar_orthogonal_uniq,128,lung_atlas,4,41,True
historical__solar_orthogonal_uniq__d128__lung_atlas__4__s42,solar_orthogonal_uniq,128,lung_atlas,4,42,True
historical__solar_orthogonal_uniq__d128__lung_atlas__4__s43,solar_orthogonal_uniq,128,lung_atlas,4,43,True
historical__solar_orthogonal_uniq__d128__lung_atlas__4__s44,solar_orthogonal_uniq,128,lung_atlas,4,44,True
historical__solar_none__d128__lung_atlas__4__s40,solar_none,128,lung_atlas,4,40,True
historical__solar_none__d128__lung_atlas__4__s41,solar_none,128,lung_atlas,4,41,True
historical__solar_none__d128__lung_atlas__4__s42,solar_none,128,lung_atlas,4,42,True
historical__solar_none__d128__lung_atlas__4__s43,solar_none,128,lung_atlas,4,43,True
historical__solar_none__d128__lung_atlas__4__s44,solar_none,128,lung_atlas,4,44,True
historical__frozen_reference_scvi__d30__lung_atlas__4__s40,frozen_reference_scvi,30,lung_atlas,4,40,True
historical__frozen_reference_scvi__d30__lung_atlas__4__s41,frozen_reference_scvi,30,lung_atlas,4,41,True
historical__frozen_reference_scvi__d30__lung_atlas__4__s42,frozen_reference_scvi,30,lung_atlas,4,42,True
historical__frozen_reference_scvi__d30__lung_atlas__4__s43,frozen_reference_scvi,30,lung_atlas,4,43,True
historical__frozen_reference_scvi__d30__lung_atlas__4__s44,frozen_reference_scvi,30,lung_atlas,4,44,True
historical__frozen_reference_scanvi__d30__lung_atlas__4__s40,frozen_reference_scanvi,30,lung_atlas,4,40,True
historical__frozen_reference_scanvi__d30__lung_atlas__4__s41,frozen_reference_scanvi,30,lung_atlas,4,41,True
historical__frozen_reference_scanvi__d30__lung_atlas__4__s42,frozen_reference_scanvi,30,lung_atlas,4,42,True
historical__frozen_reference_scanvi__d30__lung_atlas__4__s43,frozen_reference_scanvi,30,lung_atlas,4,43,True
historical__frozen_reference_scanvi__d30__lung_atlas__4__s44,frozen_reference_scanvi,30,lung_atlas,4,44,True
historical__unintegrated_pca_matched__d40__lung_atlas__4__s0,unintegrated_pca_matched,40,lung_atlas,4,0,False
historical__sclsc_refonly__d16__lung_atlas__4__s40,sclsc_refonly,16,lung_atlas,4,40,True
historical__sclsc_refonly__d16__lung_atlas__4__s41,sclsc_refonly,16,lung_atlas,4,41,True
historical__sclsc_refonly__d16__lung_atlas__4__s42,sclsc_refonly,16,lung_atlas,4,42,True
historical__sclsc_refonly__d16__lung_atlas__4__s43,sclsc_refonly,16,lung_atlas,4,43,True
historical__sclsc_refonly__d16__lung_atlas__4__s44,sclsc_refonly,16,lung_atlas,4,44,True
historical__solar_orthogonal__d128__lung_atlas__B1__s40,solar_orthogonal,128,lung_atlas,B1,40,True
historical__solar_orthogonal__d128__lung_atlas__B1__s41,solar_orthogonal,128,lung_atlas,B1,41,True
historical__solar_orthogonal__d128__lung_atlas__B1__s42,solar_orthogonal,128,lung_atlas,B1,42,True
historical__solar_orthogonal__d128__lung_atlas__B1__s43,solar_orthogonal,128,lung_atlas,B1,43,True
historical__solar_orthogonal__d128__lung_atlas__B1__s44,solar_orthogonal,128,lung_atlas,B1,44,True
historical__solar_orthogonal_uniq__d128__lung_atlas__B1__s40,solar_orthogonal_uniq,128,lung_atlas,B1,40,True
historical__solar_orthogonal_uniq__d128__lung_atlas__B1__s41,solar_orthogonal_uniq,128,lung_atlas,B1,41,True
historical__solar_orthogonal_uniq__d128__lung_atlas__B1__s42,solar_orthogonal_uniq,128,lung_atlas,B1,42,True
historical__solar_orthogonal_uniq__d128__lung_atlas__B1__s43,solar_orthogonal_uniq,128,lung_atlas,B1,43,True
historical__solar_orthogonal_uniq__d128__lung_atlas__B1__s44,solar_orthogonal_uniq,128,lung_atlas,B1,44,True
historical__solar_none__d128__lung_atlas__B1__s40,solar_none,128,lung_atlas,B1,40,True
historical__solar_none__d128__lung_atlas__B1__s41,solar_none,128,lung_atlas,B1,41,True
historical__solar_none__d128__lung_atlas__B1__s42,solar_none,128,lung_atlas,B1,42,True
historical__solar_none__d128__lung_atlas__B1__s43,solar_none,128,lung_atlas,B1,43,True
historical__solar_none__d128__lung_atlas__B1__s44,solar_none,128,lung_atlas,B1,44,True
historical__frozen_reference_scvi__d30__lung_atlas__B1__s40,frozen_reference_scvi,30,lung_atlas,B1,40,True
historical__frozen_reference_scvi__d30__lung_atlas__B1__s41,frozen_reference_scvi,30,lung_atlas,B1,41,True
historical__frozen_reference_scvi__d30__lung_atlas__B1__s42,frozen_reference_scvi,30,lung_atlas,B1,42,True
historical__frozen_reference_scvi__d30__lung_atlas__B1__s43,frozen_reference_scvi,30,lung_atlas,B1,43,True
historical__frozen_reference_scvi__d30__lung_atlas__B1__s44,frozen_reference_scvi,30,lung_atlas,B1,44,True
historical__frozen_reference_scanvi__d30__lung_atlas__B1__s40,frozen_reference_scanvi,30,lung_atlas,B1,40,True
historical__frozen_reference_scanvi__d30__lung_atlas__B1__s41,frozen_reference_scanvi,30,lung_atlas,B1,41,True
historical__frozen_reference_scanvi__d30__lung_atlas__B1__s42,frozen_reference_scanvi,30,lung_atlas,B1,42,True
historical__frozen_reference_scanvi__d30__lung_atlas__B1__s43,frozen_reference_scanvi,30,lung_atlas,B1,43,True
historical__frozen_reference_scanvi__d30__lung_atlas__B1__s44,frozen_reference_scanvi,30,lung_atlas,B1,44,True
historical__unintegrated_pca_matched__d40__lung_atlas__B1__s0,unintegrated_pca_matched,40,lung_atlas,B1,0,False
historical__sclsc_refonly__d16__lung_atlas__B1__s40,sclsc_refonly,16,lung_atlas,B1,40,True
historical__sclsc_refonly__d16__lung_atlas__B1__s41,sclsc_refonly,16,lung_atlas,B1,41,True
historical__sclsc_refonly__d16__lung_atlas__B1__s42,sclsc_refonly,16,lung_atlas,B1,42,True
historical__sclsc_refonly__d16__lung_atlas__B1__s43,sclsc_refonly,16,lung_atlas,B1,43,True
historical__sclsc_refonly__d16__lung_atlas__B1__s44,sclsc_refonly,16,lung_atlas,B1,44,True
historical__solar_orthogonal__d128__pancreas__fluidigmc1__s40,solar_orthogonal,128,pancreas,fluidigmc1,40,True
historical__solar_orthogonal__d128__pancreas__fluidigmc1__s41,solar_orthogonal,128,pancreas,fluidigmc1,41,True
historical__solar_orthogonal__d128__pancreas__fluidigmc1__s42,solar_orthogonal,128,pancreas,fluidigmc1,42,True
historical__solar_orthogonal__d128__pancreas__fluidigmc1__s43,solar_orthogonal,128,pancreas,fluidigmc1,43,True
historical__solar_orthogonal__d128__pancreas__fluidigmc1__s44,solar_orthogonal,128,pancreas,fluidigmc1,44,True
historical__solar_orthogonal_uniq__d128__pancreas__fluidigmc1__s40,solar_orthogonal_uniq,128,pancreas,fluidigmc1,40,True
historical__solar_orthogonal_uniq__d128__pancreas__fluidigmc1__s41,solar_orthogonal_uniq,128,pancreas,fluidigmc1,41,True
historical__solar_orthogonal_uniq__d128__pancreas__fluidigmc1__s42,solar_orthogonal_uniq,128,pancreas,fluidigmc1,42,True
historical__solar_orthogonal_uniq__d128__pancreas__fluidigmc1__s43,solar_orthogonal_uniq,128,pancreas,fluidigmc1,43,True
historical__solar_orthogonal_uniq__d128__pancreas__fluidigmc1__s44,solar_orthogonal_uniq,128,pancreas,fluidigmc1,44,True
historical__solar_none__d128__pancreas__fluidigmc1__s40,solar_none,128,pancreas,fluidigmc1,40,True
historical__solar_none__d128__pancreas__fluidigmc1__s41,solar_none,128,pancreas,fluidigmc1,41,True
historical__solar_none__d128__pancreas__fluidigmc1__s42,solar_none,128,pancreas,fluidigmc1,42,True
historical__solar_none__d128__pancreas__fluidigmc1__s43,solar_none,128,pancreas,fluidigmc1,43,True
historical__solar_none__d128__pancreas__fluidigmc1__s44,solar_none,128,pancreas,fluidigmc1,44,True
historical__frozen_reference_scvi__d30__pancreas__fluidigmc1__s40,frozen_reference_scvi,30,pancreas,fluidigmc1,40,True
historical__frozen_reference_scvi__d30__pancreas__fluidigmc1__s41,frozen_reference_scvi,30,pancreas,fluidigmc1,41,True
historical__frozen_reference_scvi__d30__pancreas__fluidigmc1__s42,frozen_reference_scvi,30,pancreas,fluidigmc1,42,True
historical__frozen_reference_scvi__d30__pancreas__fluidigmc1__s43,frozen_reference_scvi,30,pancreas,fluidigmc1,43,True
historical__frozen_reference_scvi__d30__pancreas__fluidigmc1__s44,frozen_reference_scvi,30,pancreas,fluidigmc1,44,True
historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s40,frozen_reference_scanvi,30,pancreas,fluidigmc1,40,True
historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s41,frozen_reference_scanvi,30,pancreas,fluidigmc1,41,True
historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s42,frozen_reference_scanvi,30,pancreas,fluidigmc1,42,True
historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s43,frozen_reference_scanvi,30,pancreas,fluidigmc1,43,True
historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s44,frozen_reference_scanvi,30,pancreas,fluidigmc1,44,True
historical__unintegrated_pca_matched__d40__pancreas__fluidigmc1__s0,unintegrated_pca_matched,40,pancreas,fluidigmc1,0,False
historical__sclsc_refonly__d16__pancreas__fluidigmc1__s40,sclsc_refonly,16,pancreas,fluidigmc1,40,True
historical__sclsc_refonly__d16__pancreas__fluidigmc1__s41,sclsc_refonly,16,pancreas,fluidigmc1,41,True
historical__sclsc_refonly__d16__pancreas__fluidigmc1__s42,sclsc_refonly,16,pancreas,fluidigmc1,42,True
historical__sclsc_refonly__d16__pancreas__fluidigmc1__s43,sclsc_refonly,16,pancreas,fluidigmc1,43,True
historical__sclsc_refonly__d16__pancreas__fluidigmc1__s44,sclsc_refonly,16,pancreas,fluidigmc1,44,True
historical__solar_orthogonal__d128__pancreas__inDrop2__s40,solar_orthogonal,128,pancreas,inDrop2,40,True
historical__solar_orthogonal__d128__pancreas__inDrop2__s41,solar_orthogonal,128,pancreas,inDrop2,41,True
historical__solar_orthogonal__d128__pancreas__inDrop2__s42,solar_orthogonal,128,pancreas,inDrop2,42,True
historical__solar_orthogonal__d128__pancreas__inDrop2__s43,solar_orthogonal,128,pancreas,inDrop2,43,True
historical__solar_orthogonal__d128__pancreas__inDrop2__s44,solar_orthogonal,128,pancreas,inDrop2,44,True
historical__solar_orthogonal_uniq__d128__pancreas__inDrop2__s40,solar_orthogonal_uniq,128,pancreas,inDrop2,40,True
historical__solar_orthogonal_uniq__d128__pancreas__inDrop2__s41,solar_orthogonal_uniq,128,pancreas,inDrop2,41,True
historical__solar_orthogonal_uniq__d128__pancreas__inDrop2__s42,solar_orthogonal_uniq,128,pancreas,inDrop2,42,True
historical__solar_orthogonal_uniq__d128__pancreas__inDrop2__s43,solar_orthogonal_uniq,128,pancreas,inDrop2,43,True
historical__solar_orthogonal_uniq__d128__pancreas__inDrop2__s44,solar_orthogonal_uniq,128,pancreas,inDrop2,44,True
historical__solar_none__d128__pancreas__inDrop2__s40,solar_none,128,pancreas,inDrop2,40,True
historical__solar_none__d128__pancreas__inDrop2__s41,solar_none,128,pancreas,inDrop2,41,True
historical__solar_none__d128__pancreas__inDrop2__s42,solar_none,128,pancreas,inDrop2,42,True
historical__solar_none__d128__pancreas__inDrop2__s43,solar_none,128,pancreas,inDrop2,43,True
historical__solar_none__d128__pancreas__inDrop2__s44,solar_none,128,pancreas,inDrop2,44,True
historical__frozen_reference_scvi__d30__pancreas__inDrop2__s40,frozen_reference_scvi,30,pancreas,inDrop2,40,True
historical__frozen_reference_scvi__d30__pancreas__inDrop2__s41,frozen_reference_scvi,30,pancreas,inDrop2,41,True
historical__frozen_reference_scvi__d30__pancreas__inDrop2__s42,frozen_reference_scvi,30,pancreas,inDrop2,42,True
historical__frozen_reference_scvi__d30__pancreas__inDrop2__s43,frozen_reference_scvi,30,pancreas,inDrop2,43,True
historical__frozen_reference_scvi__d30__pancreas__inDrop2__s44,frozen_reference_scvi,30,pancreas,inDrop2,44,True
historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s40,frozen_reference_scanvi,30,pancreas,inDrop2,40,True
historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s41,frozen_reference_scanvi,30,pancreas,inDrop2,41,True
historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s42,frozen_reference_scanvi,30,pancreas,inDrop2,42,True
historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s43,frozen_reference_scanvi,30,pancreas,inDrop2,43,True
historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s44,frozen_reference_scanvi,30,pancreas,inDrop2,44,True
