claim_id,doc,location,printed,kind,spec
fig-0022,si,Figure S2B,0.18,confusion,"{""pred"": ""CD16+ Monocytes"", ""true"": ""Monocyte-derived dendritic cells""}"
fig-0023,si,Figure S2B,0.53,confusion,"{""pred"": ""Monocyte-derived dendritic cells"", ""true"": ""Monocyte-derived dendritic cells""}"
fig-0024,si,Figure S2B,0.00,confusion,"{""pred"": ""Plasmacytoid dendritic cells"", ""true"": ""Monocyte-derived dendritic cells""}"
fig-0025,si,Figure S2B,0.00,confusion,"{""pred"": ""CD14+ Monocytes"", ""true"": ""Plasmacytoid dendritic cells""}"
fig-0026,si,Figure S2B,0.00,confusion,"{""pred"": ""CD16+ Monocytes"", ""true"": ""Plasmacytoid dendritic cells""}"
fig-0027,si,Figure S2B,0.00,confusion,"{""pred"": ""Monocyte-derived dendritic cells"", ""true"": ""Plasmacytoid dendritic cells""}"
fig-0028,si,Figure S2B,1.00,confusion,"{""pred"": ""Plasmacytoid dendritic cells"", ""true"": ""Plasmacytoid dendritic cells""}"
fig-0029,si,Figure S2A,1.0,non_result,"{""note"": ""axis tick label""}"
fig-0030,si,Figure S2A,0.8,non_result,"{""note"": ""axis tick label""}"
fig-0031,si,Figure S2A,0.6,non_result,"{""note"": ""axis tick label""}"
fig-0032,si,Figure S2A,0.4,non_result,"{""note"": ""axis tick label""}"
fig-0033,si,Figure S2A,0.2,non_result,"{""note"": ""axis tick label""}"
fig-0034,si,Figure S2A,0.0,non_result,"{""note"": ""axis tick label""}"
fig-0035,si,Figure S2B,1.0,non_result,"{""note"": ""colour-bar tick""}"
fig-0036,si,Figure S2B,0.8,non_result,"{""note"": ""colour-bar tick""}"
fig-0037,si,Figure S2B,0.6,non_result,"{""note"": ""colour-bar tick""}"
fig-0038,si,Figure S2B,0.4,non_result,"{""note"": ""colour-bar tick""}"
fig-0039,si,Figure S2B,0.2,non_result,"{""note"": ""colour-bar tick""}"
fig-0040,si,Figure S2B,0.0,non_result,"{""note"": ""colour-bar tick""}"
fig-0041,si,Figure S2A,5 seeds,derived,"{""check"": ""fits_per_batch"", ""dim"": 128, ""method"": ""solar_orthogonal"", ""value"": [5]}"
fig-0042,si,Figure S2,14,non_result,"{""note"": ""CD14+/CD16+ label text in axes""}"
fig-0043,si,Figure S2,16,non_result,"{""note"": ""CD14+/CD16+ label text in axes""}"
fig-0044,si,Figure S2,14,non_result,"{""note"": ""CD14+/CD16+ label text in axes""}"
fig-0045,si,Figure S2,16,non_result,"{""note"": ""CD14+/CD16+ label text in axes""}"
fig-0046,si,Figure S2,14,non_result,"{""note"": ""CD14+/CD16+ label text in axes""}"
fig-0047,si,Figure S2,16,non_result,"{""note"": ""CD14+/CD16+ label text in axes""}"
fig-0048,si,Figure S2,2,non_result,"{""note"": ""figure number""}"
fig-0049,si,Figure S2,1,non_result,"{""note"": ""F1 in per-class query F1""}"
fig-0050,si,Figure S2,128-dimensional repeated-anchor SOLAR,static,"{""check"": ""anchor_control_dim"", ""note"": """", ""value"": 128}"
fig-0051,si,Figure S2,128-dimensional repeated-anchor SOLAR (caption),static,"{""check"": ""embedding_dim_anchor"", ""note"": """", ""value"": 128}"
fig-0052,si,Figure S2,16,non_result,"{""note"": ""CD16+ in caption""}"
fig-0053,si,Figure S2,errors concentrated in CD16+ monocytes,assertion,"{""check"": ""villani_cd16""}"
fig-0054,si,Figure S2,per-class F1 built from the same predictions as the reported Villani macro-F1,assertion,"{""check"": ""villani_macro_f1_matches""}"
fig-0055,si,Figure S3A,-0.0223,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""A""}"
fig-0056,si,Figure S3A,0.0315,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""A""}"
fig-0057,si,Figure S3A,n=9/9,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""A""}"
fig-0058,si,Figure S3A,0,non_result,"{""note"": ""zero reference line label""}"
fig-0059,si,Figure S3B,-0.0238,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""B""}"
fig-0060,si,Figure S3B,0.021,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""B""}"
fig-0061,si,Figure S3B,n=9/9,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""B""}"
fig-0062,si,Figure S3B,0,non_result,"{""note"": ""zero reference line label""}"
fig-0063,si,Figure S3C,-0.00528,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""C""}"
fig-0064,si,Figure S3C,0.0383,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""C""}"
fig-0065,si,Figure S3C,n=9/9,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""C""}"
fig-0066,si,Figure S3C,0,non_result,"{""note"": ""zero reference line label""}"
fig-0067,si,Figure S3D,-0.00811,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""D""}"
fig-0068,si,Figure S3D,0.0204,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""D""}"
fig-0069,si,Figure S3D,n=9/9,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""D""}"
fig-0070,si,Figure S3D,0,non_result,"{""note"": ""zero reference line label""}"
fig-0071,si,Figure S3E,-0.0149,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""E""}"
fig-0072,si,Figure S3E,0.0463,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""E""}"
fig-0073,si,Figure S3E,n=9/9,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""E""}"
fig-0074,si,Figure S3E,0,non_result,"{""note"": ""zero reference line label""}"
fig-0075,si,Figure S3F,-0.0129,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""F""}"
fig-0076,si,Figure S3F,0.0728,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""F""}"
fig-0077,si,Figure S3F,n=9/9,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""F""}"
fig-0078,si,Figure S3F,0,non_result,"{""note"": ""zero reference line label""}"
fig-0079,si,Figure S3G,-0.12,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""G""}"
fig-0080,si,Figure S3G,0.868,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""G""}"
fig-0081,si,Figure S3G,n=9/9,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""G""}"
fig-0082,si,Figure S3G,0,non_result,"{""note"": ""zero reference line label""}"
fig-0083,si,Figure S3H,-0.0424,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""H""}"
fig-0084,si,Figure S3H,0.00584,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""H""}"
fig-0085,si,Figure S3H,n=9/9,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""H""}"
fig-0086,si,Figure S3H,0,non_result,"{""note"": ""zero reference line label""}"
fig-0087,si,Figure S3I,-0.0974,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""I""}"
fig-0088,si,Figure S3I,0.0162,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""I""}"
fig-0089,si,Figure S3I,n=9/9,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""I""}"
fig-0090,si,Figure S3I,0,non_result,"{""note"": ""zero reference line label""}"
fig-0091,si,Figure S3J,-0.3,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""J""}"
fig-0092,si,Figure S3J,0.0414,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""J""}"
fig-0093,si,Figure S3J,n=3/3,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S3"", ""format"": ""g3"", ""panel"": ""J""}"
fig-0094,si,Figure S3J,0,non_result,"{""note"": ""zero reference line label""}"
fig-0095,si,Figure S5A,-0.0291,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""A""}"
fig-0096,si,Figure S5A,0.0153,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""A""}"
fig-0097,si,Figure S5A,n=9/9,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""A""}"
fig-0098,si,Figure S5A,0,non_result,"{""note"": ""zero reference line label""}"
fig-0099,si,Figure S5B,-0.0298,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""B""}"
fig-0100,si,Figure S5B,0.0205,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""B""}"
fig-0101,si,Figure S5B,n=9/9,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""B""}"
fig-0102,si,Figure S5B,0,non_result,"{""note"": ""zero reference line label""}"
fig-0103,si,Figure S5C,-0.00558,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""C""}"
fig-0104,si,Figure S5C,0.00768,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""C""}"
fig-0105,si,Figure S5C,n=9/9,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""C""}"
fig-0106,si,Figure S5C,0,non_result,"{""note"": ""zero reference line label""}"
fig-0107,si,Figure S5D,-0.365,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""D""}"
fig-0108,si,Figure S5D,1.01,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""D""}"
fig-0109,si,Figure S5D,n=9/9,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""D""}"
fig-0110,si,Figure S5D,0,non_result,"{""note"": ""zero reference line label""}"
fig-0111,si,Figure S5E,-0.0141,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""E""}"
fig-0112,si,Figure S5E,0.0253,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""E""}"
fig-0113,si,Figure S5E,n=9/9,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""E""}"
fig-0114,si,Figure S5E,0,non_result,"{""note"": ""zero reference line label""}"
fig-0115,si,Figure S5F,-0.0107,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""F""}"
fig-0116,si,Figure S5F,0.00352,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""F""}"
fig-0117,si,Figure S5F,n=6/6,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""F""}"
fig-0118,si,Figure S5F,0,non_result,"{""note"": ""zero reference line label""}"
fig-0119,si,Figure S5G,-0.0169,derived,"{""check"": ""fig_axis"", ""end"": ""low"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""G""}"
fig-0120,si,Figure S5G,0.0113,derived,"{""check"": ""fig_axis"", ""end"": ""high"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""G""}"
fig-0121,si,Figure S5G,n=3/3,derived,"{""check"": ""fig_axis"", ""end"": ""n"", ""figure"": ""S5"", ""format"": ""g3"", ""panel"": ""G""}"
fig-0122,si,Figure S5G,0,non_result,"{""note"": ""zero reference line label""}"
fig-0123,si,Figure S3,10,non_result,"{""note"": ""batch labels 10X, Lung: 3/4/B1, Oetjen_A etc.; repeated per panel""}"
fig-0124,si,Figure S3,3,non_result,"{""note"": ""batch labels 10X, Lung: 3/4/B1, Oetjen_A etc.; repeated per panel""}"
fig-0125,si,Figure S3,1,non_result,"{""note"": ""batch labels 10X, Lung: 3/4/B1, Oetjen_A etc.; repeated per panel""}"
fig-0126,si,Figure S3,1,non_result,"{""note"": ""batch labels 10X, Lung: 3/4/B1, Oetjen_A etc.; repeated per panel""}"
fig-0127,si,Figure S3,1,non_result,"{""note"": ""batch labels 10X, Lung: 3/4/B1, Oetjen_A etc.; repeated per panel""}"
fig-0128,si,Figure S3,1,non_result,"{""note"": ""batch labels 10X, Lung: 3/4/B1, Oetjen_A etc.; repeated per panel""}"
fig-0129,si,Figure S3,1,non_result,"{""note"": ""batch labels 10X, Lung: 3/4/B1, Oetjen_A etc.; repeated per panel""}"
fig-0130,si,Figure S3,3,non_result,"{""note"": ""batch labels 10X, Lung: 3/4/B1, Oetjen_A etc.; repeated per panel""}"
fig-0131,si,Figure S3,3,non_result,"{""note"": ""batch labels 10X, Lung: 3/4/B1, Oetjen_A etc.; repeated per panel""}"
fig-0132,si,Figure S3,4,non_result,"{""note"": ""batch labels 10X, Lung: 3/4/B1, Oetjen_A etc.; repeated per panel""}"
fig-0133,si,Figure S3,4,non_result,"{""note"": ""batch labels 10X, Lung: 3/4/B1, Oetjen_A etc.; repeated per panel""}"
fig-0134,si,Figure S3,3,non_result,"{""note"": ""figure number""}"
fig-0135,si,Figure S3,128-dimensional,static,"{""check"": ""anchor_control_dim"", ""note"": """", ""value"": 128}"
fig-0136,si,Figure S3,128-dimensional (caption),static,"{""check"": ""embedding_dim_anchor"", ""note"": """", ""value"": 128}"
fig-0137,si,Figure S3,five fits,derived,"{""check"": ""fits_per_batch"", ""dim"": 128, ""method"": ""solar_orthogonal"", ""value"": [5]}"
fig-0138,si,Figure S3,1,non_result,"{""note"": ""F1 in macro-F1""}"
fig-0139,si,Figure S3,three immune batches,derived,"{""check"": ""n_pseudotime_batches"", ""value"": 3}"
fig-0140,si,Figure S3,nine held-out batches,derived,"{""check"": ""n_real_query_batches"", ""value"": 9}"
fig-0141,si,Figure S3,9,non_result,"{""note"": ""Table S9""}"
fig-0142,si,Figure S4A,1.0,non_result,"{""note"": ""axis tick label""}"
fig-0143,si,Figure S4A,0.8,non_result,"{""note"": ""axis tick label""}"
fig-0144,si,Figure S4A,0.6,non_result,"{""note"": ""axis tick label""}"
fig-0145,si,Figure S4A,0.4,non_result,"{""note"": ""axis tick label""}"
fig-0146,si,Figure S4A,0.2,non_result,"{""note"": ""axis tick label""}"
fig-0147,si,Figure S4A,0.0,non_result,"{""note"": ""axis tick label""}"
fig-0148,si,Figure S4B,1.0,non_result,"{""note"": ""axis tick label""}"
fig-0149,si,Figure S4B,0.8,non_result,"{""note"": ""axis tick label""}"
fig-0150,si,Figure S4B,0.6,non_result,"{""note"": ""axis tick label""}"
fig-0151,si,Figure S4B,0.4,non_result,"{""note"": ""axis tick label""}"
fig-0152,si,Figure S4B,0.2,non_result,"{""note"": ""axis tick label""}"
fig-0153,si,Figure S4B,0.0,non_result,"{""note"": ""axis tick label""}"
fig-0154,si,Figure S4,10,non_result,"{""note"": ""x labels 10X, 3, 4, B1, C1, inDrop2/3""}"
fig-0155,si,Figure S4,3,non_result,"{""note"": ""x labels 10X, 3, 4, B1, C1, inDrop2/3""}"
fig-0156,si,Figure S4,4,non_result,"{""note"": ""x labels 10X, 3, 4, B1, C1, inDrop2/3""}"
fig-0157,si,Figure S4,1,non_result,"{""note"": ""x labels 10X, 3, 4, B1, C1, inDrop2/3""}"
fig-0158,si,Figure S4,1,non_result,"{""note"": ""x labels 10X, 3, 4, B1, C1, inDrop2/3""}"
fig-0159,si,Figure S4,2,non_result,"{""note"": ""x labels 10X, 3, 4, B1, C1, inDrop2/3""}"
fig-0160,si,Figure S4,3,non_result,"{""note"": ""x labels 10X, 3, 4, B1, C1, inDrop2/3""}"
fig-0161,si,Figure S4,30D (legend),static,"{""check"": ""common_dim"", ""note"": """", ""value"": 30}"
fig-0162,si,Figure S4,5 seeds,derived,"{""check"": ""fits_per_batch"", ""dim"": 30, ""method"": ""solar_orthogonal"", ""value"": [5]}"
fig-0163,si,Figure S4,4,non_result,"{""note"": ""figure number; F1 in macro-F1""}"
fig-0164,si,Figure S4,1,non_result,"{""note"": ""figure number; F1 in macro-F1""}"
fig-0165,si,Figure S4,30-dimensional,static,"{""check"": ""common_dim"", ""note"": """", ""value"": 30}"
fig-0166,si,Figure S4,its 30-dimensional output,static,"{""check"": ""embedding_dim_common"", ""note"": """", ""value"": 30}"
fig-0167,si,Figure S4,nine held-out batches,derived,"{""check"": ""n_real_query_batches"", ""value"": 9}"
fig-0168,si,Figure S4,15-nearest-neighbour,static,"{""check"": ""knn_neighbors"", ""note"": """", ""value"": 15}"
fig-0169,si,Figure S4,40 reference-fitted principal components,static,"{""check"": ""solar_pca_components"", ""note"": """", ""value"": 40}"
fig-0170,si,Figure S4,3,non_result,"{""note"": ""Tables S3 and S7""}"
fig-0171,si,Figure S4,7,non_result,"{""note"": ""Tables S3 and S7""}"
fig-0172,si,Figure S5,SOLAR30 / SOLAR128 / SCLSC30 / SCLSC16,static,"{""check"": ""method_specific_dims"", ""note"": """", ""value"": [[30, 128], [30, 40], [30], [30], [16, 30]]}"
fig-0173,si,Figure S5,10,non_result,"{""note"": ""batch labels; F1 in macro-F1; repeated per panel""}"
fig-0174,si,Figure S5,1,non_result,"{""note"": ""batch labels; F1 in macro-F1; repeated per panel""}"
fig-0175,si,Figure S5,5,non_result,"{""note"": ""figure number""}"
fig-0176,si,Figure S5,30-dimensional / 128-dimensional,static,"{""check"": ""solar_dims"", ""note"": """", ""value"": [30, 128]}"
fig-0177,si,Figure S5,SOLAR with 30-dimensional outputs (caption),static,"{""check"": ""embedding_dim_common"", ""note"": """", ""value"": 30}"
fig-0178,si,Figure S5,SCLSC with 30-dimensional outputs (caption),static,"{""check"": ""sclsc_dims"", ""note"": """", ""value"": [16, 30]}"
fig-0179,si,Figure S5,"SCLSC with 30-dimensional outputs (caption, second mention)",static,"{""check"": ""sclsc_dims"", ""note"": """", ""value"": [16, 30]}"
fig-0180,si,Figure S5,30-dimensional / 16-dimensional,static,"{""check"": ""sclsc_dims"", ""note"": """", ""value"": [16, 30]}"
fig-0181,si,Figure S5,five fits,derived,"{""check"": ""fits_per_batch"", ""dim"": 30, ""method"": ""solar_orthogonal"", ""value"": [5]}"
fig-0182,si,Figure S5,1,non_result,"{""note"": ""F1 in macro-F1""}"
fig-0183,si,Figure S5,six immune/lung batches,derived,"{""check"": ""n_trust_batches"", ""value"": 6}"
fig-0184,si,Figure S5,three immune batches,derived,"{""check"": ""n_pseudotime_batches"", ""value"": 3}"
fig-0185,si,Figure S5,all nine,derived,"{""check"": ""n_real_query_batches"", ""value"": 9}"
fig-0186,si,Figure S5,8,non_result,"{""note"": ""Table S8""}"
